Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Brand,PriceinAUS,Subtitle Metric,Acceleration Metric,Range Metric,TopSpeed Metric,Efficiency Metric,FastChargeSpeed Metric,PriceinAUS Metric
Mercedes EQV 300 Extra-Long,90.0,12.1,160.0,320.0,281.0,280.0,Front Wheel Drive,7,72281.0,,Mercedes,,2,3,2,1,1,1,
Lucid Air Grand Touring,110.0,3.2,270.0,660.0,167.0,1380.0,All Wheel Drive,5,140000.0,125000.0,Lucid,233750.0,3,5,4,3,4,5,2
Lucid Air Touring,85.0,3.4,250.0,530.0,160.0,1390.0,All Wheel Drive,5,95000.0,90000.0,Lucid,168300.0,2,5,3,3,4,5,3
Lucid Air Pure,85.0,4.2,200.0,540.0,157.0,1410.0,Rear Wheel Drive,5,80000.0,70000.0,Lucid,130900.00000000001,2,5,3,2,4,5,4
Dacia Spring Electric,26.8,15.0,125.0,170.0,158.0,120.0,Front Wheel Drive,4,20490.0,,Dacia,,1,2,1,1,4,1,
Tesla Model 3 Standard Range Plus LFP,51.0,5.6,225.0,340.0,150.0,570.0,Rear Wheel Drive,5,43560.0,40990.0,Tesla,76651.3,1,5,2,2,4,3,5
Tesla Model 3 Performance,76.0,3.3,261.0,470.0,162.0,790.0,All Wheel Drive,5,58560.0,59990.0,Tesla,112181.3,2,5,3,3,4,3,4
Fiat 500e Hatchback 24 kWh,23.8,9.5,135.0,165.0,144.0,260.0,Front Wheel Drive,4,23560.0,20495.0,Fiat,38325.65,1,4,1,1,4,1,5
Fiat 500e 3+1,37.3,9.0,150.0,245.0,152.0,410.0,Front Wheel Drive,4,29560.0,,Fiat,,1,4,1,1,4,2,
Mercedes EQC 400 4MATIC,80.0,5.1,180.0,370.0,216.0,440.0,All Wheel Drive,5,66069.0,65720.0,Mercedes,122896.40000000001,2,5,2,1,2,2,4
Kia e-Niro 64 kWh,64.0,7.8,167.0,370.0,173.0,350.0,Front Wheel Drive,5,39090.0,32445.0,Kia,60672.15,2,4,2,1,4,2,5
Kia e-Niro 39 kWh,39.2,9.8,155.0,235.0,167.0,230.0,Front Wheel Drive,5,35290.0,30345.0,Kia,56745.15,1,4,1,1,4,1,5
Citroen e-SpaceTourer XS 50 kWh,45.0,12.1,130.0,185.0,243.0,250.0,Front Wheel Drive,7,50880.0,,Citroen,,1,3,1,1,2,1,
Citroen e-SpaceTourer M 50 kWh,45.0,12.1,130.0,185.0,243.0,250.0,Front Wheel Drive,7,51440.0,31995.0,Citroen,59830.65,1,3,1,1,2,1,5
Citroen e-SpaceTourer XL 50 kWh,45.0,12.1,130.0,180.0,250.0,240.0,Front Wheel Drive,7,52230.0,,Citroen,,1,3,1,1,1,1,
Citroen e-SpaceTourer M 75 kWh,68.0,13.3,130.0,270.0,252.0,290.0,Front Wheel Drive,7,57440.0,,Citroen,,2,3,2,1,1,2,
Citroen e-SpaceTourer XL 75 kWh,68.0,13.3,130.0,270.0,252.0,290.0,Front Wheel Drive,7,58230.0,,Citroen,,2,3,2,1,1,2,
Opel Zafira-e Life S 50 kWh,45.0,12.1,130.0,185.0,243.0,250.0,Front Wheel Drive,7,56700.0,,Opel,,1,3,1,1,2,1,
Opel Zafira-e Life M 50 kWh,45.0,12.1,130.0,185.0,243.0,250.0,Front Wheel Drive,7,53800.0,,Opel,,1,3,1,1,2,1,
Opel Zafira-e Life L 50 kWh,45.0,12.1,130.0,180.0,250.0,240.0,Front Wheel Drive,7,54625.0,49465.0,Opel,92499.55,1,3,1,1,1,1,5
Opel Zafira-e Life M 75 kWh,68.0,13.3,130.0,270.0,252.0,290.0,Front Wheel Drive,7,59800.0,,Opel,,2,3,2,1,1,2,
Opel Zafira-e Life L 75 kWh,68.0,13.3,130.0,270.0,252.0,290.0,Front Wheel Drive,7,60625.0,,Opel,,2,3,2,1,1,2,
Peugeot e-Traveller Compact 50 kWh,45.0,12.1,130.0,185.0,243.0,250.0,Front Wheel Drive,7,50880.0,,Peugeot,,1,3,1,1,2,1,
Peugeot e-Traveller Standard 50 kWh,45.0,13.1,130.0,185.0,243.0,250.0,Front Wheel Drive,7,55900.0,49065.0,Peugeot,91751.55,1,3,1,1,2,1,5
Peugeot e-Traveller Long 50 kWh,45.0,13.1,130.0,185.0,243.0,250.0,Front Wheel Drive,7,56690.0,49905.0,Peugeot,93322.35,1,3,1,1,2,1,5
